Month,Reporting org id,Reporting org name,Reporting org type,Sector,Receiver org id,Receiver org name,Humanitarian?,Strict?,Transaction type,Activity id,Net money,Total money,Notes
#date+month,#org+id,#org+name,#org+type,#sector,#org+id+receiver,#org+name+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_type,#activity+code,#value+net,#value+total,#description
2025-04,do-21,American Express Company,70,Financials,ro-54,International Medical Corps (IMC) [NGO],1,1,commitments,31,250000,250000,Donation to support mobile medical teams in Ukraine to provide essential emergency and primary health services; mental health and psychosocial support services; and COVID-19 awareness and prevention services to help keep affected populations safe from the pandemic. 
2025-04,do-21,American Express Company,70,Financials,US-EIN-13-5660870,International Rescue Committee (IRC) [NGO],1,1,commitments,32,250000,250000,"Donation to provide necessary resources where they are needed most in Ukraine, including for those who have fled their homes. "
2025-04,do-21,American Express Company,70,Financials,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,commitments,33,250000,250000,"Donation to support children and families as the Ukraine crisis escalates, with life-saving programs, safe water, emergency health, hygiene, and education aid and other immediate help for those in need of support. "
2025-04,do-22,AmerisourceBergen,70,Health care,ro-2,Unspecified (see notes),1,1,commitments,34,500000,500000,Commitment to support organizations in Ukraine including Direct Relief. 
2025-04,do-23,Amgen Inc.,70,Health care,ro-54,International Medical Corps (IMC) [NGO],1,1,commitments,35,250000,250000,Donation from foundation associated with Amgen biopharmaceutical company. 
2025-04,do-23,Amgen Inc.,70,Health care,ro-87,Project Hope [NGO],1,1,commitments,36,250000,250000,Donation from foundation associated with Amgen biopharmaceutical company. 
2025-04,do-24,Analog Devices Incorporated,70,Industrials,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),1,1,spending,37,101320,101320,"CHF 97,509 from American semiconductor company."
2025-04,do-484,Andreas Stihl AG & Co KG,70,Industrials,ro-179,Diakonie Katastrophenhilfe [NGO],1,1,commitments,760,130087,130087,"€125,000 cash donation"
2025-04,do-484,Andreas Stihl AG & Co KG,70,Industrials,ro-66,Médecins Sans Frontières (MSF) [NGO],1,1,commitments,759,130087,130087,"€125,000 cash donation to Ärzte ohne Grenzen e.V. (German office of Doctors Without Borders)."
2025-04,do-484,Andreas Stihl AG & Co KG,70,Industrials,ro-99,SOS Children's Villages [NGO],1,1,commitments,757,130087,130087,"€125,000 cash donation"
2025-04,do-484,Andreas Stihl AG & Co KG,70,Industrials,ro-132,UNO-Flüchtlingshilfe (Germany for UNHCR),1,1,commitments,758,130087,130087,"€125,000 cash donation"
2025-04,do-25,AngloAmerican Foundation,70,Materials,ro-2,Unspecified (see notes),1,1,commitments,38,5000000,5000000,Donation from foundation associated with British multinational mining group. 
2025-04,do-26,Ann and Gordon Getty Foundation,70,Energy,ro-113,Ukraine Humanitarian Fund (UHF),1,1,spending,39,42000,42000,Cash donation from descendants of the founder of the Standard Oil Company.
2025-04,do-27,Arcadia Fund,70,Industrials,GB-CHC-220949,British Red Cross Society ,1,1,spending,40,6517325,6517325,£5 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). 
2025-04,do-27,Arcadia Fund,70,Industrials,ro-14,British-Ukrainian Aid [NGO],1,1,commitments,41,32586,32586,"£25,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). "
2025-04,do-27,Arcadia Fund,70,Industrials,ro-34,Foundation Conservation Carpathia [NGO],1,1,spending,42,271879,271879,"€250,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). "
2025-04,do-27,Arcadia Fund,70,Industrials,ro-35,Frankfurt Zoological Society [NGO],1,1,spending,43,271879,271879,"€250,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). "
2025-04,do-27,Arcadia Fund,70,Industrials,ro-90,Refugee Council [NGO],1,1,spending,44,651732,651732,"£500,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). "
2025-04,do-27,Arcadia Fund,70,Industrials,GB-COH-213890,Save the Children [NGO],1,1,spending,45,2281064,2281064,£1.75 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). 
2025-04,do-27,Arcadia Fund,70,Industrials,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),1,1,spending,46,3910395,3910395,£3 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). 
2025-04,do-28,Arcadis NV,70,Industrials,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),1,1,spending,47,212451,212451,"CHF 204,460 from global design, engineering and management consulting company."
2025-04,do-492,ArcelorMittal S.A.,70,Materials,ro-71,Ministry of Social Policy of Ukraine [government],1,1,spending,82,1000000,1000000,"$1 million cash donation directly to the 'Humanitarian Assistance to Ukrainians' bank account established and operated by the Government of Ukraine, for housing, food, medicine, and clothing for refugees and displaced persons."
2025-04,do-492,ArcelorMittal S.A.,70,Materials,ro-2,Unspecified (see notes),1,1,commitments,90,1000000,1000000,$1 million cash donation allocated for humanitarian aid in the city of Kryvyi Rih for medical supplies and equipment for local hospitals.
2025-04,do-29,Archer-Daniels-Midland Company,70,Consumer staples,XM-DAC-41140,World Food Programme (WFP),1,1,spending,48,485000,485000,Donation from US-based food conglomerate. 
2025-04,do-30,Arc'teryx,70,Consumer discretionary,ro-113,Ukraine Humanitarian Fund (UHF),1,1,spending,49,19700,19700,"CAD 25,000 from Canadian outdoor clothing and climbing gear company. "
2025-04,do-31,Ares Management Corporation,70,Financials,GB-CHC-292506,CARE International [NGO],1,1,commitments,50,100000,100000,To provide water and hygiene kits for Ukraine. 
2025-04,do-31,Ares Management Corporation,70,Financials,ro-152,Voices of Children Foundation [NGO],1,1,commitments,51,100000,100000,For psychological and evacuation support for children of Ukraine.  
2025-04,do-31,Ares Management Corporation,70,Financials,ro-154,World Central Kitchen [NGO],1,1,commitments,52,100000,100000,For meals for those who emigrate to neighboring countries and those who remain in Ukraine. 
2025-04,do-32,Argyle Systems Inc ,70,Industrials,ro-44,GoFundMe.org Ukraine Humanitarian Fund,1,1,spending,53,50000,50000,Donation to GoFundMe campaign. 
2025-04,do-33,Arista,70,Information technology,ro-113,Ukraine Humanitarian Fund (UHF),1,1,spending,54,20000,20000,Donation via the Silicon Valley Community Foundation.
2025-04,do-34,Armani Group ,70,Consumer discretionary,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),1,1,spending,55,561798,561798,"€500,000 donation for the assistance and protection of those who have been forced to flee the war in Ukraine. "
2025-04,do-35,Asda Stores Ltd,70,Consumer discretionary,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,commitments,56,330000,330000,"£250k corporate donation to support the setup of a Blue Dot centre which will provide a safe space for up to 5,000 children and families and give them access to things like emergency water and hygiene kits on the ground."
2025-04,do-35,Asda Stores Ltd,70,Consumer discretionary,ro-2,Unspecified (see notes),1,1,commitments,57,980712,980712,£1m corporate commitment (manually reduced by £250k corporate donation to UNICEF)
2025-04,do-36,ASIS International,70,Industrials,ro-113,Ukraine Humanitarian Fund (UHF),1,1,spending,58,10000,10000,Donation from organization representing security professionals.
2025-04,do-516,Assicurazioni Generali S.p.A.,70,Financials,ro-2,Unspecified (see notes),1,1,commitments,815,3021626,3021626,"€ 3 million donation, including a donation to UNHCR."
