Reporting org id,Reporting org name,Reporting org type,Provider org id,Provider org name,Provider org type,Receiver org id,Receiver org name,Receiver org type,Humanitarian?,Strict?,Transaction direction,Total money,Notes
#org+id+reporting,#org+name+reporting,#org+reporting+type,#org+id+provider,#org+name+provider,#org+type+provider,#org+id+receiver,#org+name+receiver,#org+type+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_direction,#value+total,#description
cd-41,Audi AG,70,,,,ro-132,UNO-Flüchtlingshilfe (Germany for UNHCR),,1,1,outgoing,1074365,€750k to UNO-Flüchtlingshilfe plus €250k for regional projects at the Audi site in Hungary.
cd-42,"Aurora World, Inc.",70,,,,ro-109,The Toy Foundation [NGO],,1,1,outgoing,250000,"Donation from manufacturer of plush toys of $250,000 worth of toys for children affected by the Ukraine crisis. "
cd-43,aviado GmbH,70,,,,ro-113,Ukraine Humanitarian Fund (UHF),,1,1,outgoing,16667,Donation from specialist aviation and rail consultancy. 
cd-480,AVIV Group GmbH,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,36527,"€35,0000 donation to Ein Herz für Kinder [NGO] and I Loge You [NGO]."
cd-44,Axa,70,,,,XM-DAC-41122,United Nations Children's Fund (UNICEF),,1,1,outgoing,1630435,Cash donation to UNICEF National Committee France
cd-44,AXA,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,6405720,€6 million for NGOs working in Ukraine and neighboring countries.
cd-506,B. Metzler seel. Sohn & Co. Aktiengesellschaft,70,,,,ro-190,Rotary Club Bad Homburg Kurpark [NGO],,1,1,outgoing,50292,"€ 50,000 donation as part of the aid campaign by the Rotary Club Bad Homburg Kurpark for medical support. "
cd-45,Backcountry,70,,,,GB-CHC-292506,CARE International [NGO],,1,1,outgoing,10000,To help with refugee assistance.
cd-46,Bain & Company,70,,,,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),,1,1,outgoing,1000000,Donation announced by Worldwide Managing Partner of global consultancy.
cd-47,Baker Creek Heirloom Seed Company,70,,,,ro-158,World Help [NGO],,1,1,outgoing,1600000,Donation from seed sales from February 25 through 27.
cd-48,Balenciaga SAS,70,,,,XM-DAC-41140,World Food Programme (WFP),,1,1,outgoing,337079,Donation from Spanish (now French) luxury brand. 
cd-49,Banco Santander S.A.,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,1087495,€1 million initial donation to the Red Cross and UNHCR. 
cd-50,Bandai Namco,70,,,,GB-COH-213890,Save the Children [NGO],,1,1,outgoing,817420,100 million yen donation in support of Ukraine.
cd-51,Bank of America,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,1000000,"To the Red Cross and Red Crescent network in Ukraine and the region, World Central Kitchen, Cooperative for Assistance and Relief Everywhere, International Medical Corps and Project Hope."
cd-52,Bank of Ireland,70,,,,ro-58,Irish Red Cross Society,,1,1,outgoing,109000,"€100,000 to help people fleeing the Ukraine conflict."
cd-54,Barratt Foundation,70,,,,GB-CHC-220949,British Red Cross Society ,,1,1,outgoing,66000,"£50,000 from charitable arm of Barratt and David Wilson Homes and commercial property developer Wilson Bowden."
cd-55,Barry Callebaut AG,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,31617,"CHF 30,000 donation from Swiss cocoa producer."
cd-56,BASF SE,70,,,,ro-193,BASF Foundation [NGO],,1,1,outgoing,2121666,"Employees donated € 2,110,156 to the BASF colleagues in Ukraine"
cd-56,BASF SE,70,,,,ro-40,German Red Cross,,1,1,outgoing,1101820,Donation from German chemicals conglomerate. €1 million.
cd-56,BASF SE,70,,,,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),,1,1,outgoing,2121666,The company matched the employees' donation to support the Ukrainian refugees
cd-474,Baupost Group,70,,,,ro-113,Ukraine Humanitarian Fund (UHF),,1,1,outgoing,10200,Cash donation to UHF
cd-57,Bayer AG,70,,,,ro-40,German Red Cross,,1,1,outgoing,1331400,"€1,060,000 proceeds from employee donation campaign to benefit multiple Red Cross national societies (via German Red Cross) with match by Bayer AG, PLUS separate €200,000 cash donation from the Bayer Disaster Relief Preparedness Fund. "
cd-57,Bayer AG,70,,,,ro-181,Individual grantees (see notes),,1,1,outgoing,204681,"A total of €193,636 made up of multiple small donations of €10,000 - 50,000 to NGOs in Ukraine and neighbouring countries in support of shelters, medical care; refugees and emergency relief."
