Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID
EQ-2023-000015-TUR-0027,Bayer AG,Health care,Germany,German Red Cross,cash,pledged,213322,"€200,000 cash donation intended to support disaster response in Syria.",Public reporting: https://www.bayer.com/media/en-us/bayer-donates-15-million-euros-for-immediate-aid-to-victims-of-devastating-earthquakes-in-tuerkiye-and-syria/,do-57,ro-40
EQ-2023-000015-TUR-0028,Caterpillar Inc.,Industrials,United States of America,Unspecified Red Cross / Red Crescent Society (see notes),cash,pledged,400000,"$400,000 from the Caterpillar Foundation to support the needs of those impacted by the earthquake in Turkey and Syria.",Public reporting: https://www.caterpillar.com/en/news/caterpillarNews/2023/foundation-supports-turkey-syria-earthquake.html,do-604,ro-3
EQ-2023-000015-TUR-0029,"Chegg, Inc.",Consumer discretionary,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,100000,Cash donation for early emergency support and essential health services.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/chegg-earthquakes-t-rkiye-and-syria,do-87,US-EIN-13-5660870
EQ-2023-000015-TUR-0030,Chevron Corporation,Energy,United States of America,Unspecified (see notes),cash,pledged,1000000,"Initial minimum pledge for disaster relief, to be augmented by matching employee and retiree contributions.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/chevron-earthquakes-t-rkiye-and-syria,do-606,ro-2
EQ-2023-000015-TUR-0031,Cigna,Health Care,United States of America,Multiple (see notes),cash,pledged,150000,"Donation from the Cigna Foundation to the International Rescue Committee, UNICEF, and IFRC supporting critical humanitarian efforts.",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/cigna-earthquakes-t-rkiye-and-syria,do-607,ro-1
EQ-2023-000015-TUR-0032,"Citibank, N.A.",Financials,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,250000,"To respond to the urgent needs of impacted communities.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/citi-earthquakes-t-rkiye-and-syria,do-608,US-EIN-13-5660870
EQ-2023-000015-TUR-0033,Edgewell Personal Care,Consumer Discretionary,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,25000,Cash donation.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/edgewell-personal-care-earthquakes-t-rkiye-and-syria,do-609,US-EIN-13-5660870
EQ-2023-000015-TUR-0034,Edison International,Utilities,United States of America,American Red Cross,cash,pledged,25000,Cash donation.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/edison-international-earthquakes-t-rkiye-and-syria,do-610,ro-5
EQ-2023-000015-TUR-0035,ExxonMobil,Energy,United States of America,International Medical Corps (IMC) [NGO],cash,pledged,100000,Cash donation from the ExxonMobil Foundation.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-and-syria/exxonmobil-earthquakes-t-rkiye-and-syria,do-144,ro-54
EQ-2023-000015-TUR-0036,FedEx Corporation,Industrials,United States of America,Turkish Red Crescent / Türk Kızılay,cash,paid,100000,Donation to support recovery efforts in local communities.,Public reporting: https://newsroom.fedex.com/fedex-supports-relief-efforts-in-turkey,do-611,ro-200
