Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes
BBVA,Financials,Spain,United Nations Children's Fund (UNICEF),cash,pledged,545000,"BBVA will donate one million euros, which will be distributed 50 percent between UNICEF and UNHCR, to respond to the humanitarian emergency in Ukraine. "
BCG,Financials,United States of America,World Food Programme (WFP),cash,paid,48025,Donation from major American consulting firm. Source: CONFIRMED WFP 31-Mar-22.
BentallGreenOak,Real estate,Canada,United Nations Children's Fund (UNICEF),cash,pledged,39500,"Corporate giving program. BentallGreenOak has donated $50,000 to UNICEF to support children and families in Ukraine. CAD 50000."
BHP Foundation,Materials,Australia,Ukraine Humanitarian Fund (UHF),cash,pledged,2000000,"Donation from private foundation affiliated with BHP (formerly BHP Billiton), an Australian multinational mining, metals, and petroleum company. Source: CONFIRMED PLEDGE UNF 5-Apr-22."
BHP Foundation,Materials,Australia,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,2000000,"Donation from the private foundation affiliated with BHP (formerly known as BHP Billiton), an Australian multinational mining, metals and petroleum company."
BioNTech SE,Health care,Germany,UNO-Flüchtlingshilfe (Germany for UNHCR),cash,pledged,1099600,BioNTech SE supports humanitarian aid for the people of Ukraine with a donation of one million Euro.
Blockchain Charity Foundation USA,Financials,Cayman Islands,International Strategic Action Network for Security [NGO],cash,pledged,500000,"Donation of $500,000 equivalent cryptocurrency from charitable foundation associated with Binance cryptocurrency exchange platform towards providing temporary housing and resettlement assistance to Ukrainian refugees entering Poland."
Blockchain Charity Foundation USA,Financials,Cayman Islands,People in Need [NGO],cash,pledged,1000000,Donation of $1 million equivalent cryptocurrency from charitable foundation associated with Binance cryptocurrency exchange platform towards direct assistance to refugees in Slovakia and those displaced in Ukraine.
Blockchain Charity Foundation USA,Financials,Cayman Islands,Ukraine Rotary Club Kyiv International [NGO],cash,pledged,250000,"Donation of $250,000 equivalent cryptocurrency from charitable foundation associated with Binance cryptocurrency exchange platform towards helping people displaced within Ukraine."
Blockchain Charity Foundation USA,Financials,Cayman Islands,United Nations Children's Fund (UNICEF),cash,pledged,2500000,Donation of $2.5 million equivalent cryptocurrency from charitable foundation associated with Binance cryptocurrency exchange platform. Source: https://www.binance.charity/posts/Humanity_First_Update_on_Ukraine_Efforts.
Blockchain Charity Foundation USA,Financials,Cayman Islands,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,2500000,Donation of $2.5 million equivalent cryptocurrency from charitable foundation associated with Binance cryptocurrency exchange platform.
Bloomberg L.P.,Information technology,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,49715,"46,000 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
Bloomberg Philanthropies,Information technology,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,30000000,Donation from foundation associated with the founder of Bloomberg LP. Source: https://www.mikebloomberg.com/news/bloombergs-giving-to-the-humanitarian-crisis-in-ukraine/
Bloomberg Philanthropies,Information technology,United States of America,World Central Kitchen [NGO],cash,pledged,10000000,Donation from foundation associated with the founder of Bloomberg LP. Source: https://www.mikebloomberg.com/news/bloombergs-giving-to-the-humanitarian-crisis-in-ukraine/
Bloomsbury Publishing,Consumer discretionary,United Kingdom,United Nations High Commissioner for Refugees (UNHCR),cash,paid,20380,"GBP 15,000. Source: CONFIRMED UNHCR 30-Mar-22."
BNY Mellon,Financials,United States of America,Ukraine Humanitarian Fund (UHF),cash,pledged,200000,Pipeline donation. Source: CONFIRMED by UNF 5-Apr-22.
Boeing Company Charitable Trust,Industrials,United States of America,American Red Cross,cash,pledged,500000,"Company-sponsored foundation. Boeing announced a US $2 million emergency assistance package to support humanitarian response efforts in Ukraine. The assistance package will be directed to organizations working to bring food, water, clothing, medicine and shelter to displaced Ukrainians – including those seeking refuge in neighboring countries. In addition, Boeing will match all qualifying employee contributions made in support of Ukrainian humanitarian relief through the company's charitable matching program. Funding from the Boeing Charitable Trust will support the following organizations: $1,000,000 to CARE; $500,000 to American Red Cross; $250,000 to Americares; and $250,000 to organizations working to support vulnerable, displaced populations in Ukraine and neighboring countries. USD 500000."
Boeing Company Charitable Trust,Industrials,United States of America,Americares [NGO],cash,pledged,250000,"Company-sponsored foundation. Boeing announced a US $2 million emergency assistance package to support humanitarian response efforts in Ukraine. The assistance package will be directed to organizations working to bring food, water, clothing, medicine and shelter to displaced Ukrainians – including those seeking refuge in neighboring countries. In addition, Boeing will match all qualifying employee contributions made in support of Ukrainian humanitarian relief through the company's charitable matching program. Funding from the Boeing Charitable Trust will support the following organizations: $1,000,000 to CARE; $500,000 to American Red Cross; $250,000 to Americares; and $250,000 to organizations working to support vulnerable, displaced populations in Ukraine and neighboring countries. USD 250000."
Boeing Company Charitable Trust,Industrials,United States of America,CARE International [NGO],cash,pledged,1000000,"Company-sponsored foundation. Boeing announced a US $2 million emergency assistance package to support humanitarian response efforts in Ukraine. The assistance package will be directed to organizations working to bring food, water, clothing, medicine and shelter to displaced Ukrainians – including those seeking refuge in neighboring countries. In addition, Boeing will match all qualifying employee contributions made in support of Ukrainian humanitarian relief through the company's charitable matching program. Funding from the Boeing Charitable Trust will support the following organizations: $1,000,000 to CARE; $500,000 to American Red Cross; $250,000 to Americares; and $250,000 to organizations working to support vulnerable, displaced populations in Ukraine and neighboring countries. USD 1000000."
Bolt Technology OÜ,Consumer discretionary,Estonia,[multiple or not specified],cash,paid,1088044,Expect to donate more than €5 million over the next two weeks. We’re transferring the first €1 million today. Source: https://blog.bolt.eu/en/bolt-stands-against-invasion-in-ukraine-donates-over-e5m/
Bolt Technology OÜ,Consumer discretionary,Estonia,[multiple or not specified],cash,pledged,4352820,Expect to donate more than €5 million over the next two weeks. We’re transferring the first €1 million today. Source: https://blog.bolt.eu/en/bolt-stands-against-invasion-in-ukraine-donates-over-e5m/
Booz-Allen & Hamilton,Financials,United States of America,CARE International [NGO],cash,pledged,100000,Corporate giving program. Booz Allen Hamilton is matching up to $100k in employee donations for CARE's Ukraine Crisis Fund. USD 100000.
BP plc,Energy,United Kingdom,[multiple or not specified],in-kind,pledged,5000000,Food and fuel cards to be distributed at the Polish border. Source: https://www.bp.com/en/global/corporate/news-and-insights/reimagining-energy/bp-pledges-donations-in-aid-of-ukraine.html
BP plc,Energy,United Kingdom,[multiple or not specified],cash,pledged,5000000,"Support to local organizations in Poland, Hungary, and Romania. Source: https://www.bp.com/en/global/corporate/news-and-insights/reimagining-energy/bp-pledges-donations-in-aid-of-ukraine.html"
BP plc,Energy,United Kingdom,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,5000000,Part of a $20 million package of assistance. Source: https://www.bp.com/en/global/corporate/news-and-insights/reimagining-energy/bp-pledges-donations-in-aid-of-ukraine.html
BP plc,Energy,United Kingdom,United Nations Children's Fund (UNICEF),cash,pledged,5000000,Part of a $20 million package of assistance. Source: https://www.bp.com/en/global/corporate/news-and-insights/reimagining-energy/bp-pledges-donations-in-aid-of-ukraine.html
Camlog Biotechnologies GmbH,Health care,Switzerland,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,10807,"10,000 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
Canada Goose,Consumer discretionary,Canada,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,79193,"Donation from the Canada Goose Response Program of CAD 100,000 to support humanitarian efforts in Ukraine."
Canadian Imperial Bank of Commerce,Financials,Canada,Canadian Red Cross Society,cash,pledged,39500,"Corporate giving program. CIBC announced it is donating $200,000 to three organizations focused on providing immediate humanitarian aid to the people of Ukraine. This includes $50,000 CAD to Canadian Red Cross Ukraine Humanitarian Crisis Appeal, which will enable the Red Cross and Red Crescent Movement to respond to humanitarian needs generated by the recent crisis. CAD 50000."
Canadian Imperial Bank of Commerce,Financials,Canada,United Nations Children's Fund (UNICEF) Canada,cash,pledged,79000,"Corporate giving program. CIBC announced it is donating $200,000 to three organizations focused on providing immediate humanitarian aid to the people of Ukraine. This includes $100,000 CAD to the UNICEF Canada Ukraine Appeal, which is focused on providing humanitarian aid to children and families and protecting children's rights, while responding to the vulnerabilities caused by the dual crises of conflict and COVID-19. CAD 100000."
Canadian Imperial Bank of Commerce,Financials,Canada,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,39500,"Corporate giving program. CIBC announced it is donating $200,000 to three organizations focused on providing immediate humanitarian aid to the people of Ukraine. This includes $50,000 to United Nations Refugee Agency Canada (UNHCR), which will help ensure that Ukrainians forced to flee their homes are sheltered and safe. CAD 50000."
Canadian Pacific Railway,Industrials,Canada,Canadian Red Cross Society,cash,pledged,399145,"Donation of CAD 500,000 in support of humanitarian relief in Ukraine and for Ukrainian refugees. Source: https://www.prnewswire.com/news-releases/cp-donates-500-000-to-red-cross-in-support-of-ukrainian-refugees-and-invites-companies-across-canada-and-the-us-to-join-in-supporting-humanitarian-relief-efforts-301498626.html"
Cargolux,Industrials,Luxembourg,Médecins Sans Frontières (MSF) [NGO],cash,pledged,545000,Corporate giving program. Cargolux will contribute one million euros to Médecins Sans Frontières to aid humanitarian operations in Ukraine as a result of the conflict. EUR 500000.
Cargolux,Industrials,Luxembourg,United Nations Children's Fund (UNICEF),cash,pledged,1090000,Corporate giving program. Cargolux will contribute one million euros to UNICEF to aid humanitarian operations in Ukraine as a result of the conflict. EUR 1000000.
Cargolux,Industrials,Luxembourg,United Nations High Commissioner for Refugees (UNHCR),cash,paid,1123596,"€1,000,000 to aid humanitarian operations in Ukraine as a result of the conflict. Source: CONFIRMED UNHCR 30-Mar-22."
Cargolux,Industrials,Luxembourg,United Nations High Commissioner for Refugees (UNHCR),in-kind,pledged,510000,Reported in OCHA FTS as in-kind. Needs additional verification. 
Carlsberg A/S,Consumer discretionary,Denmark,[multiple or not specified],cash,pledged,731127,5 million DKK donation to local NGOs as part of 25 million DKK commitment. Source: https://www.carlsbergfondet.dk/en/News/News-from-the-Foundation/News/DKK-75-million-to-humanitarian-relief-efforts-in-the-Ukraine
Carlsberg A/S,Consumer discretionary,Denmark,Danish Red Cross,cash,pledged,1462255,10 million DKK donation to local NGOs as part of 25 million DKK commitment. Source: https://www.carlsbergfondet.dk/en/News/News-from-the-Foundation/News/DKK-75-million-to-humanitarian-relief-efforts-in-the-Ukraine
Carlsberg A/S,Consumer discretionary,Denmark,Danish Refugee Council [NGO],cash,pledged,731127,5 million DKK donation to local NGOs as part of 25 million DKK commitment. Source: https://www.carlsbergfondet.dk/en/News/News-from-the-Foundation/News/DKK-75-million-to-humanitarian-relief-efforts-in-the-Ukraine
Carlsberg A/S,Consumer discretionary,Denmark,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,731127,5 million DKK donation to local NGOs as part of 25 million DKK commitment. Source: https://www.carlsbergfondet.dk/en/News/News-from-the-Foundation/News/DKK-75-million-to-humanitarian-relief-efforts-in-the-Ukraine
CD PROJEKT Group,Consumer discretionary,Poland,Polish Humanitarian Action [NGO],cash,pledged,240389,Donation of PLN 1 million from video game studio. Source: https://twitter.com/CDPROJEKTRED/status/1497207867773964290.
Chapman and Cutler LLP,Financials,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,10000,Donation from US law firm. Source: CONFIRMED UNF 5-Apr-22.
Chesapeake Energy,Energy,United States of America,[multiple or not specified],cash,pledged,5000000,Pledged donation from US-based energy firm. Source: https://sustainability.chk.com/2022/03/22/chesapeake-announces-5-million-donation-to-ukraine-humanitarian-relief/
Chubb Limited,Financials,Switzerland,Project Hope [NGO],cash,pledged,1000000,"Corporate giving program. Chubb announced a $1 million grant and employee matching gift campaign supporting Project Hope, which is providing humanitarian relief to the people of Ukraine. USD 1000000."
"Civitas Resources, Inc.",Energy,United States of America,[multiple or not specified],cash,pledged,10000000,Pledge from US-based energy company. Source: https://www.businesswire.com/news/home/20220316006131/en/Civitas-Pledges-10-Million-in-Humanitarian-Aid-to-Ukrainians
Clorox Company,Consumer staples,United States of America,American Red Cross,cash,pledged,100000,"Corporate giving program. The Clorox Company is supporting Ukraine relief through Workplace giving (matching employee donations dollar for dollar) - $100K cash donation to its major disaster partner, Red Cross.  USD 100000."
Columbia Sportswear,Consumer discretionary,United States of America,Ukraine Humanitarian Fund (UHF),cash,pledged,25000,Pipeline donation. Source: CONFIRMED by UNF 5-Apr-22.
ConocoPhillips,Energy,United States of America,[multiple or not specified],cash,pledged,2000000,Commitment by American oil giant. Source: https://www.conocophillips.com/news-media/story/conocophillips-contributes-to-humanitarian-efforts-in-ukraine
Coyote Logistics,Industrials,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,5036,"4,660 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
Crankstart Foundation,Financials,United States of America,Ukraine Humanitarian Fund (UHF),cash,pledged,1000000,"Pipeline donation. Family foundation associated with Michael Moritz, partner at Sequoia Capital. Source: CONFIRMED by UNF 5-Apr-22."
Cra-Z-Art,Consumer discretionary,United States of America,The Toy Foundation [NGO],in-kind,pledged,250000,"Cra-Z-Art will donate art supplies, puzzles, coloring books, and other activity kits to support providing toys to Ukrainian refugee children worth $250,000."
CropLife Europe,Consumer staples,Belgium,World Food Programme (WFP),cash,paid,328587,Donation from organization representing 22 companies and 32 national associations working in farming and digital biotech. Source: CONFIRMED WFP 31-Mar-22.
CTP,Real estate,Czechia,United Nations High Commissioner for Refugees (UNHCR),cash,paid,10952903,€10 million donation from Czech property development firm.Source: CONFIRMED UNHCR 30-Mar-22.
Currency.com,Financials,Saint Vincent and the Grenadines,ASAP Rescue [NGO],cash,pledged,200000,"Corporate giving program. $200,000 was donated to ASAP Rescue for evacuation efforts in Ukraine. USD 200000."
Currency.com,Financials,Saint Vincent and the Grenadines,GlobalGiving [NGO],cash,pledged,300000,"Corporate giving program. Currency.com is contributing $300,000 to The Ministry of Social Policy and Global Giving to help Ukrainians access food, shelter and medical care. USD 300000."
Currency.com,Financials,Saint Vincent and the Grenadines,Ukrainian Red Cross Society,cash,pledged,500000,"Corporate giving program. Currency.com is contributing $500,000 to support the joint emergency relief efforts of the Ministry of Health in Ukraine and the Red Cross Society of Ukraine. The funds will be used to provide medical aid and basic amenities to displaced Ukrainians. USD 500000."
Cytel Inc.,Health care,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,15239,"14,100 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
Czapek & Cie SA,Consumer discretionary,Switzerland,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,21615,"20,000 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
"Daiichi Sankyo Company, Limited",Health care,Japan,United Nations Children's Fund (UNICEF),cash,pledged,1000000,¥115 million yen
Daily Mail and General Trust,Communications services,United Kingdom,British Red Cross Society ,cash,pledged,660000,"Corporate giving program. DGMT donation for Red Cross aid during humanitarian crisis in Ukraine. GBP £500,000."
Danone S.A.,Consumer staples,France,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,557334,"515,686 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
