Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes
Kuehne + Nagel International AG,Industrials,Switzerland,[multiple or not specified],in-kind,pledged,4364468,Commitment to donate CHF 10 million in free logistical/shipping/storage services to support Ukraine humanitarian response. Note that pledged amount has been reduced by Source: Confirmed paid in-kind donations as of 8-Apr-22. Source: https://newsroom.kuehne-nagel.com/kuehnenagel-provides-quick-aid-to-ukraine/.
Kuehne + Nagel International AG,Industrials,Switzerland,[redacted] Recipient A,in-kind,paid,8234,"Part of commitment to donate CHF 10 million in free logistical/shipping/storage services to support Ukraine humanitarian response. Source: Confirmed by donor 8-Apr-22 as CHF 7,706. Donor has requested that recipient be redacted."
Kuehne + Nagel International AG,Industrials,Switzerland,International Committee of the Red Cross and Red Crescent Societies (ICRC),in-kind,paid,641124,"Part of commitment to donate CHF 10 million in free logistical/shipping/storage services to support Ukraine humanitarian response. Source: CONFIRMED by donor 8-Apr-22 as CHF 600,000."
Kuehne + Nagel International AG,Industrials,Switzerland,United Nations Children's Fund (UNICEF),in-kind,paid,1824949,"Part of commitment to donate CHF 10 million in free logistical/shipping/storage services to support Ukraine humanitarian response. Source: CONFIRMED by donor 8-Apr-22 as CHF 1,707,890."
Kuehne + Nagel International AG,Industrials,Switzerland,United Nations High Commissioner for Refugees (UNHCR),in-kind,paid,3231708,"Part of commitment to donate CHF 10 million in free logistical/shipping/storage services to support Ukraine humanitarian response. Source: CONFIRMED by donor 8-Apr-22 as CHF 3,024,415."
Kuehne + Nagel International AG,Industrials,Switzerland,United Nations Population Fund (UNFPA),in-kind,paid,36382,"Part of commitment to donate CHF 10 million in free logistical/shipping/storage services to support Ukraine humanitarian response. Source: CONFIRMED by donor 8-Apr-22 as CHF 34,048."
Kuehne + Nagel International AG,Industrials,Switzerland,World Health Organization (WHO),in-kind,paid,609135,"Part of commitment to donate CHF 10 million in free logistical/shipping/storage services to support Ukraine humanitarian response. Source: CONFIRMED by donor 8-Apr-22 as CHF 570,063."
Kurt Geiger,Consumer discretionary,United Kingdom,British Red Cross Society ,cash,pledged,66000,"Corporate giving program. Kurt Geiger has donated £50,000 to the British Red Cross, which is working with the Ukrainian Red Cross Society on the ground to provide food, water, first aid, medicine, warm clothes and shelter to those affected by the crisis in Ukraine. GBP £50,000."
LEGO Foundation,Consumer discretionary,Denmark,United Nations Children's Fund (UNICEF),cash,pledged,3700000,Part of a DKK 110 million (USD $16.5 million) pledge announced by the LEGO Foundation to support people affected by the conflict in Ukraine.
Liebherr Foundation,Industrials,Switzerland,United Nations High Commissioner for Refugees (UNHCR),cash,paid,215517,"CHF 200,000 donation from private foundation linked to German-Swiss multinational equipment manufacturer. Source: CONFIRMED UNHCR 30-Mar-22."
"Lincoln Electric Holdings, Inc.",Industrials,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,24958,"23,093 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
Lindt & Sprüngli AG,Consumer discretionary,Switzerland,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,1080762,"1,000,000 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
Louis Vuitton,Consumer discretionary,France,United Nations Children's Fund (UNICEF),cash,pledged,1090000,€1 million for immediate release to aid the ongoing crisis in Ukraine. Source: https://www.textiletoday.com.bd/fashion-brands-responding-invasion-ukraine/
LVMH Group,Consumer discretionary,France,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,5450000,"€5 million preliminary ""emergency donation"" about $5.5 million) to help the direct and indirect victims of the war. Source: https://twitter.com/LVMH/status/1499122594699694085."
Magna International,Industrials,Canada,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,100000,Reported in OCHA FTS. Dpnation from Canadian mobility technology company for automakers.
Marks & Spencer,Consumer discretionary,United Kingdom,United Kingdom for UNHCR,cash,pledged,660000,"£500,000 to UK for UNHCR"
Marks & Spencer,Consumer discretionary,United Kingdom,United Nations Children's Fund (UNICEF),cash,pledged,660000,"£500,000 to UNICEF"
Marks & Spencer,Consumer discretionary,United Kingdom,United Nations High Commissioner for Refugees (UNHCR),in-kind,pledged,660000,"£500,000 worth of products urgently needed on the ground, which will be distributed by UNHCR"
"Mars, Inc.",Consumer staples,United States of America,[multiple or not specified],cash,pledged,10000000,Increase cash and in-kind donation to humanitarian causes by $10 million in addition to the $2 million committed to affected people and pets last week. Source: https://www.mars.com/news-and-stories/press-releases-statements/mars-update-russia-and-ukraine
"Mars, Inc.",Consumer staples,United States of America,Humane Society International [NGO],cash,pledged,500000,"Working with Save the Children, we’re committing $1.5 million to help provide for the basic needs of children and their families in Ukraine and seeking refuge in border countries, as well as $500 thousand to Humane Society International to give assistance to pets and pet owners. Source: https://www.mars.com/news-and-stories/press-releases-statements/mars-ceo-outlines-support-for-ukraine-and-calls-for"
"Mars, Inc.",Consumer staples,United States of America,Save the Children [NGO],cash,pledged,1500000,"Working with Save the Children, we’re committing $1.5 million to help provide for the basic needs of children and their families in Ukraine and seeking refuge in border countries, as well as $500 thousand to Humane Society International to give assistance to pets and pet owners. Source: https://www.mars.com/news-and-stories/press-releases-statements/mars-ceo-outlines-support-for-ukraine-and-calls-for"
Mastercard,Financials,United States of America,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,1250000,"Donated $2 million to support the relief initiatives in Ukraine and surrounding countries welcoming refugees. Of this, $1.25 million was allocated to the International Red Cross and $500K to Save the Children. Source: https://www.mastercard.com/news/press/2022/march/supporting-ukraine-activating-our-philanthropy-tools-and-network-for-humanitarian-relief-efforts/"
Mastercard,Financials,United States of America,Save the Children [NGO],cash,pledged,500000,"Donated $2 million to support the relief initiatives in Ukraine and surrounding countries welcoming refugees. Of this, $1.25 million was allocated to the International Red Cross and $500K to Save the Children. Source: https://www.mastercard.com/news/press/2022/march/supporting-ukraine-activating-our-philanthropy-tools-and-network-for-humanitarian-relief-efforts/"
Mastercard,Financials,United States of America,Save the Children [NGO],cash,pledged,3000000,"$3 million from the Mastercard Impact Fund to further support humanitarian relief efforts (food, shelter, medical care, etc), as well as aiding the financial security and driving small business programs for migrants’ longer term economic integration. $1m for local chapter of international NGOs or local, smaller NGOs; $2m for refugee medium-temr support.Source: https://www.mastercard.com/news/press/2022/march/supporting-ukraine-activating-our-philanthropy-tools-and-network-for-humanitarian-relief-efforts/"
Mercedes-Benz,Consumer discretionary,Germany,German Red Cross,cash,pledged,1090000,"Corporate giving program. Mercedes-Benz has announced that it will donate €1 million ($1,108,400) to the German Red Cross in support of those affected by the crisis in Ukraine. EUR 1000000."
Merck KGaA,Health care,Germany,German Red Cross,cash,pledged,2180000,"Corporate giving program. To support humanitarian aid in Ukraine, Merck will donate two million euros to the German Red Cross. One million euros of this amount will be contributed by the Merck Family. EUR 2000000."
"Meta Platforms, Inc.",Information technology,United States of America,[multiple or not specified],cash,pledged,5000000,$15 million to support humanitarian efforts in Ukraine and neighboring countries. This includes $5 million in direct donations to UN agencies and more than a dozen nonprofits. Source: https://about.fb.com/news/2022/02/metas-ongoing-efforts-regarding-russias-invasion-of-ukraine/
"Meta Platforms, Inc.",Information technology,United States of America,[multiple or not specified],in-kind,pledged,10000000,"$15 million to support humanitarian efforts in Ukraine and neighboring countries. $10 million will be provided as ad credits, helping nonprofit organizations raise the funds they need. Source: https://about.fb.com/news/2022/02/metas-ongoing-efforts-regarding-russias-invasion-of-ukraine/"
"Meta Platforms, Inc.",Information technology,United States of America,International Organization for Migration (IOM),in-kind,paid,150000,"USD 150,000 in-kind advertising credits Source: CONFIRMED received by IOM 29-Mar-22"
Metro AG,Consumer staples,Germany,World Food Programme (WFP),cash,paid,393258,Donation from German membership cash-and-carry company. Source: CONFIRMED WFP 31-Mar-22.
Metro Supply Chain,Industrials,Canada,Canadian Red Cross Society,cash,pledged,39500,"Corporate giving program. Metro Supply Chain announced that it has donated $50,000 to the Canadian Red Cross to support humanitarian relief efforts in Ukraine. CAD 50000."
Michael & Susan Dell Foundation,Information technology,United States of America,[multiple or not specified],cash,pledged,15000000,"$15m to support Catholic Relief Services, Flexport.org, International Medical Corps, JDC, Jewish Agency for Israel, Médecins Sans Frontières/Doctors Without Borders, Samaritan’s Purse, and Save the Children from foundation associated with the founder of Dell computing. Source: https://www.dell.org/ukraine/"
Micky and Madeleine Arison Family Foundation,Consumer discretionary,United States of America,Direct Relief [NGO],cash,pledged,1000000,Donation from family foundation associated with the CEO of Carnival Corporation (cruise lines). Source: https://travelweekly.co.uk/news/cruise/carnival-corporation-chairmans-foundation-donates-3m-to-ukraine-relief 
Micky and Madeleine Arison Family Foundation,Consumer discretionary,United States of America,United Nations Children's Fund (UNICEF) USA,cash,pledged,1000000,Donation from family foundation associated with the CEO of Carnival Corporation (cruise lines). Source: https://travelweekly.co.uk/news/cruise/carnival-corporation-chairmans-foundation-donates-3m-to-ukraine-relief 
Micky and Madeleine Arison Family Foundation,Consumer discretionary,United States of America,World Central Kitchen [NGO],cash,pledged,1000000,Donation from family foundation associated with the CEO of Carnival Corporation (cruise lines). Source: https://travelweekly.co.uk/news/cruise/carnival-corporation-chairmans-foundation-donates-3m-to-ukraine-relief 
Microsoft Corporation,Information technology,United States of America,[multiple or not specified],in-kind,pledged,18000000,"""Microsoft has now committed over $35 million to support humanitarian assistance and relief efforts for Ukraine. This includes more than $18 million worth of Microsoft technology to help organizations such as the Polish Humanitarian Action respond to critical needs and others providing services on the ground."" Source: https://blogs.microsoft.com/on-the-issues/2022/03/04/microsoft-suspends-russia-sales-ukraine-conflict/"
Microsoft Corporation,Information technology,United States of America,[multiple or not specified],cash,pledged,13500000,"""Microsoft employee donations are being matched by the company 2:1, resulting in more than $13.5 million raised to date in support of organizations working both within Ukraine and supporting refugees who have fled to neighboring countries."" Source: https://blogs.microsoft.com/on-the-issues/2022/03/04/microsoft-suspends-russia-sales-ukraine-conflict/"
Micys Company S.p.A.,Consumer discretionary,Italy,United Nations High Commissioner for Refugees (UNHCR),cash,paid,11236,Donation from Italian cosmetics company. Source: CONFIRMED UNHCR 30-Mar-22.
Mitsubishi Electric,Consumer discretionary,United States of America,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,1099600,€1 million donation to UNHCR and launched an employee gift matching program through its US and Japanese philanthropic arms.
Mondi plc,Industrials,United Kingdom,World Food Programme (WFP),cash,paid,1095290,Donation from multinational paper and packaging group. Source: CONFIRMED WFP 31-Mar-22.
Mondou,Consumer discretionary,Canada,Canadian Red Cross Society,cash,pledged,79000,"Corporate giving program. Showing its solidarity with the people affected by the conflict in Ukraine, Mondou announced it will be donating $100,000 to the Canadian Red Cross’s Relief Fund: Humanitarian Crisis in Ukraine. CAD 100000."
Moody's Foundation,Financials,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,250000,"Company-sponsored foundation. Moody's Foundation donated $250,000 to the International Rescue Committee (IRC) to support humanitarian relief efforts in the Ukraine. Moody’s donation will help provide food, medical care and emergency supplies to refugee families. Moody's Foundation is double matching all employee gifts supporting Ukraine relief efforts to approved nonprofits. USD 250000."
Moose Toys,Consumer discretionary,Australia,Save the Children [NGO],cash,pledged,100000,Donation to Save the Children's Ukraine Relief Fund.
Morrison & Foerster Foundation,Financials,United States of America,Benevolent Healthcare Foundation [NGO],cash,pledged,15000,"$15,000 to Project C.U.R.E., which is distributing donated medical equipment and supplies to Ukrainian hospitals in Kyiv, Lviv, Odessa and other affected cities; "
Morrison & Foerster Foundation,Financials,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,17000,"The Morrison & Foerster Foundation is donating just under $17,000 to the International Rescue committee, which is on the ground in Poland aiding displaced families; "
Morrison & Foerster Foundation,Financials,United States of America,World Central Kitchen [NGO],cash,pledged,15000,"$15,000 to World Central Kitchen, which provides meals for displaced Ukrainian families in Poland and Romania."
Morrison Supermarkets,Consumer staples,United Kingdom,Disasters Emergency Committee (DEC) [NGO],cash,pledged,330000,"Corporate giving program. Morrison Supermarkets is donating £250,000 to the Disasters Emergency Committee (DEC) Ukraine Appeal. These funds will support those affected by the conflict, providing food, water, shelter, healthcare and protection. GBP £250,000."
MSA Safety,Industrials,United States of America,FIRE AID [NGO],cash,pledged,400000,"Corporate giving program. MSA Safety Incorporated announced the donation of more than $400,000 of safety equipment to Ukrainian firefighters. This donation is made in partnership with FIRE AID, a UK-based non-profit organization that facilitates the donation of fire and rescue equipment around the world. USD 400000."
NanoTemper Technologies,Information technology,Germany,Ukraine Humanitarian Fund (UHF),cash,paid,13508.41,"Donation of  €12,500 from German technology company. Source: CONFIRMED UNF 5-Apr-22."
NCR Foundation,Industrials,United States of America,United Nations Children's Fund (UNICEF),cash,pledged,200000,"Corporate giving program. NCR Foundation has pledged a $200,000 donation to UNICEF to support standing up Blue Dot centers and purchase needed supplies to meet the needs of Ukraine refugees. USD 200000."
Neptune Energy,Energy,United Kingdom,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,1000000,Corporate giving program. Neptune Energy announced it will donate $2 million to support humanitarian efforts to aid the people of Ukraine. The donation will be shared equally between emergency appeals by the International Committee of the Red Cross and the International Rescue Committee. USD 1000000.
Neptune Energy,Energy,United Kingdom,International Rescue Committee (IRC) [NGO],cash,pledged,1000000,Corporate giving program. Neptune Energy announced it will donate $2 million to support humanitarian efforts to aid the people of Ukraine. The donation will be shared equally between emergency appeals by the International Committee of the Red Cross and the International Rescue Committee. USD 1000000.
New York Life,Financials,United States of America,Save the Children [NGO],cash,pledged,150000,"Corporate giving program. New York Life will be allocating $150,000 to Save the Children, which is providing children and their families in Ukraine with immediate on-the-ground aid, including food, water, hygiene kits, psychosocial support, and cash assistance.  USD 150000."
New York Life,Financials,United States of America,United Nations Children's Fund (UNICEF) USA,cash,pledged,150000,"Corporate giving program. New York Life will be allocating $150,000 to UNICEF, which is supporting child and family protection support hubs located at key migration routes, providing safe water, nutrition, healthcare and education to those affected by the conflict in Ukraine. USD 150000."
Newmont Corporation,Materials,United States of America,[multiple or not specified],cash,pledged,5000000,"Donation to Project CURE, American Red Cross, and IMC from American gold and materials mining company. Source: https://newmont.com/investors/news-release/news-details/2022/Newmont-Contributes-5-Million-to-Support-Humanitarian-Efforts-in-Ukraine-strong/default.aspx."
Nike Foundation,Consumer discretionary,United States of America,[multiple or not specified],cash,pledged,1000000,"1 million dollars to UNICEF and International Rescue Committee. We are also working with our partner, Good360, on the distribution of product donations to those affected. Source: https://www.business-humanrights.org/en/latest-news/nike-statement/"
"Nissan Motor Co., Ltd.",Consumer discretionary,Japan,[multiple or not specified],cash,pledged,1088220,1 million Euros to the Red Cross and other non-profit organizations to support ongoing emergency activities. Source: https://global.nissannews.com/en/releases/220307-00-e
Norton Rose Fulbright,Financials,United Kingdom,Canadian Red Cross Society,cash,pledged,100000,Donation from international law firm headquartered in London.
Norton Rose Fulbright,Financials,United Kingdom,Save the Children [NGO],cash,pledged,200000,Donation from international law firm headquartered in London.
Novartis AG,Health care,Switzerland,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,1000000,Novartis is committed to helping the humanitarian effort in Ukraine and will make an initial donation of USD 3 million to be shared between three humanitarian organizations. Source: https://www.novartis.com/news/novartis-condemns-war-ukraine-and-commits-supporting-humanitarian-efforts
Novartis AG,Health care,Switzerland,International Rescue Committee (IRC) [NGO],cash,pledged,1000000,Novartis is committed to helping the humanitarian effort in Ukraine and will make an initial donation of USD 3 million to be shared between three humanitarian organizations. Source: https://www.novartis.com/news/novartis-condemns-war-ukraine-and-commits-supporting-humanitarian-efforts
Novartis AG,Health care,Switzerland,Save the Children [NGO],cash,pledged,1000000,Novartis is committed to helping the humanitarian effort in Ukraine and will make an initial donation of USD 3 million to be shared between three humanitarian organizations. Source: https://www.novartis.com/news/novartis-condemns-war-ukraine-and-commits-supporting-humanitarian-efforts
Novelis Corporation,Industrials,United States of America,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,300000,"Corporate giving program. Novelis has pledged a total of $300,000 to the International Committee of the Red Cross for Ukraine humanitarian relief, which includes $10,000 given by Novelis employees. The company will be matching 100% employee contributions to the cause. USD 300000."
Novo Nordisk Foundation,Energy,Denmark,Danish Red Cross,cash,pledged,3695117,"DKK 50 million donation from pharmaceutical-company linked foundation distributed as follows: Danish Red Cross DKK 25 million, UNHCR DKK 10 million, Danish Refugee Council DKK 10 million, UNICEF Denmark DKK 4 million and Human Rights Watch DKK 1 million."
Novo Nordisk Foundation,Energy,Denmark,Danish Refugee Council [NGO],cash,pledged,1478047,"DKK 50 million donation from pharmaceutical-company linked foundation distributed as follows: Danish Red Cross DKK 25 million, UNHCR DKK 10 million, Danish Refugee Council DKK 10 million, UNICEF Denmark DKK 4 million and Human Rights Watch DKK 1 million."
Novo Nordisk Foundation,Energy,Denmark,Human Rights Watch [NGO],cash,pledged,147804,"DKK 50 million donation from pharmaceutical-company linked foundation distributed as follows: Danish Red Cross DKK 25 million, UNHCR DKK 10 million, Danish Refugee Council DKK 10 million, UNICEF Denmark DKK 4 million and Human Rights Watch DKK 1 million."
Novo Nordisk Foundation,Energy,Denmark,United Nations Children's Fund (UNICEF) Denmark,cash,pledged,591218,"DKK 50 million donation from pharmaceutical-company linked foundation distributed as follows: Danish Red Cross DKK 25 million, UNHCR DKK 10 million, Danish Refugee Council DKK 10 million, UNICEF Denmark DKK 4 million and Human Rights Watch DKK 1 million."
Novo Nordisk Foundation,Energy,Denmark,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,1478047,"DKK 50 million donation from pharmaceutical-company linked foundation distributed as follows: Danish Red Cross DKK 25 million, UNHCR DKK 10 million, Danish Refugee Council DKK 10 million, UNICEF Denmark DKK 4 million and Human Rights Watch DKK 1 million."
Oak Foundation,Consumer discretionary,Switzerland,[multiple or not specified],cash,pledged,10750000,Donation from foundation started with contribution from the Duty Free Shoppers business in 1983. Source: https://oakfnd.org/emergency-grant-making-for-ukraine-oak-foundation-has-approved-usd-10-75-million/
Olam International,Consumer staples,Singapore,World Food Programme (WFP),cash,paid,1000000,Donation from multinational food and agribusiness group. Source: CONFIRMED WFP 31-Mar-22.
Old Navy,Consumer discretionary,United States of America,USA for UNHCR,in-kind,pledged,1000000,Donation of over $1 million worth of women's and children's clothes.
OpenText,Information technology,Canada,United Nations High Commissioner for Refugees (UNHCR),cash,paid,100000,Donation from Canadian software company. Source: CONFIRMED UNHCR 30-Mar-22.
"Orrick, Herrington & Sutcliffe",Financials,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,12500,"International law firm making a $25,000 donation split between the International Rescue Committee and United Help Ukraine.  Source: https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/orrick-herrington-sutcliffe-humanitarian-crisis-ukraine"
"Orrick, Herrington & Sutcliffe",Financials,United States of America,United Help Ukraine [NGO],cash,pledged,12500,"International law firm making a $25,000 donation split between the International Rescue Committee and United Help Ukraine.  Source: https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/orrick-herrington-sutcliffe-humanitarian-crisis-ukraine"
Pacific Life Foundation,Financials,United States of America,United Nations Children's Fund (UNICEF),cash,pledged,250000,"Company-sponsored foundation. To provide direct support to children and their families affected by the crisis in Ukraine and surrounding areas, the Pacific Life Foundation has announced a $250,000 donation to the United Nations Children’s Fund. USD 250000."
Pandora,Consumer discretionary,Denmark,United Nations Children's Fund (UNICEF),cash,pledged,1000000,Donation from the world's largest jewellery brand.
"Pepsico Foundation, Inc.",Consumer staples,United States of America,[multiple or not specified],in-kind,pledged,1600000,"$1.6 million in food, drink, and equipment. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Caritas Lviv [NGO],cash,pledged,1671684,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Direct Relief [NGO],cash,pledged,20000,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Moldovan Red Cross,cash,pledged,20615,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Polish Red Cross,cash,pledged,650000,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Polish Red Cross,cash,pledged,267805,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Romanian Red Cross,cash,pledged,22423,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Save the Children [NGO],cash,pledged,1000000,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Save the Children [NGO],cash,pledged,20751,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Swiss Red Cross,cash,pledged,20000,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,Ukraine Foodbank [NGO],cash,pledged,474287,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,World Central Kitchen [NGO],cash,pledged,1000000,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,World Food Programme (WFP),cash,pledged,1000000,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Pepsico Foundation, Inc.",Consumer staples,United States of America,World Vision Romania [NGO],cash,pledged,350000,"$4 million to five organizations operating in and around Ukraine plus $500,000 of employee contributions, and another $1 million of double matching to benefit several organizations. Source: https://www.pepsico.com/news/story/pepsico-supports-ukrainian-associates-and-communities (additional details provided directly by company)"
"Phillips Auctioneers, LLC",Consumer discretionary,United Kingdom,Ukrainian Red Cross Society,cash,pledged,7656000,"Phillips announced that it would donate the full net proceeds of its 20th-century and contemporary art evening auction in London to the Ukrainian Red Cross Society, which raised £5.8 million ($7.7 million) for the organization. Source: https://news.artnet.com/market/phillips-ukrainian-red-cross-2080413"
Pioneer Natural Resources,Energy,United States of America,[multiple or not specified],cash,pledged,20000000,Pledge of $20 million to support humanitarian aid and relief in Ukraine. Source: https://investors.pxd.com/news-releases/news-release-details/pioneer-natural-resources-announces-20-million-humanitarian-aid
Plarium,Consumer discretionary,Israel,Ukrainian Red Cross Society,cash,pledged,500000,"Donation from Israeli mobile, social and web-based game developer and publisher."
Pokémon Company,Consumer discretionary,Japan,GlobalGiving [NGO],cash,pledged,200000,"Corporate giving program. Amid the Russian invasion of Ukraine, The Pokémon Company has donated $200,000 to GlobalGiving, which will assist in providing humanitarian relief to the families affected by the conflict. USD 200000."
"Popular, Inc.",Financials,United States of America,American Red Cross in Puerto Rico,cash,pledged,50000,"Through the Red Cross of Puerto Rico, Banco Popular has donated $50,000 to support the people of Ukraine. "
Porsche AG,Consumer discretionary,Germany,Ferry Porsche Foundation [NGO],cash,pledged,272500,"Corporate giving program. Porsche donated 250,000 euros to the Ferry Porsche Foundation, focusing on children and young adults, for Ukrainian relief efforts. EUR 250000."
Porsche AG,Consumer discretionary,Germany,UNO-Flüchtlingshilfe (Germany for UNHCR),cash,pledged,817500,"Corporate giving program. Porsche donated 750,000 euros to the UN Refugee Aid, a German association partnered with the UN Refugee Agency, for Ukrainian relief efforts. This is the same group for which Porsche's parent company Volkswagen Group also donated one million euros. EUR 750000."
PricewaterhouseCoopers,Financials,United States of America,CARE International [NGO],cash,pledged,125000,"$125,000 donation to the Ukraine Crisis Fund through CARE to provide frontline humanitarian aid and support. Source: https://www.pwc.com/us/en/about-us/newsroom/press-releases/pwc-living-purpose-values-through-ukraine-charitable-foundation.html"
Procter & Gamble,Consumer staples,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,755436,"698,985 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
"Punto Fa, S.L.",Consumer discretionary,Spain,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,111595,"€100,000 donation from the Spanish clothing design company trading as Mango. Source: https://www.textiletoday.com.bd/fashion-brands-responding-invasion-ukraine/"
Realdania,Financials,Denmark,Danish Red Cross,cash,pledged,7315290,"DKK 50 million to the Danish Red Cross from a Danish philanthropic association with about 175,000 members. Source: https://www.realdania.org/news/latest-news/2022/donation (additional information provided by company via bilateral email). Note: association was initially established with proceeds from the sale of Realkredit Danmark to Danske Bank."
Realdania,Financials,Denmark,Danish Refugee Council [NGO],cash,pledged,3657645,"DKK 25 million to the Danish Refugee Council from a Danish philanthropic association with about 175,000 members. Source: https://www.realdania.org/news/latest-news/2022/donation (additional information provided by company via bilateral email)"
Realdania,Financials,Denmark,Save the Children Denmark [NGO],cash,pledged,3657645,"DKK 25 million to Save the Children Denmark from a Danish philanthropic association with about 175,000 members. Source: https://www.realdania.org/news/latest-news/2022/donation (additional information provided by company via bilateral email)"
Revolut,Financials,United Kingdom,Ukrainian Red Cross Society,cash,pledged,1500000,Corporate giving program. for the Red Cross to assist with those affected by the war in Ukraine. USD 1500000.
"Riot Games, Inc.",Consumer discretionary,United States of America,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,1800000,Donation of proceeds from one week of sales in video game platform. Source: https://twitter.com/riotgames/status/1509200557621325839.
"Riot Games, Inc.",Consumer discretionary,United States of America,International Medical Corps (IMC) [NGO],cash,pledged,1800000,Donation of proceeds from one week of sales in video game platform. Source: https://twitter.com/riotgames/status/1509200557621325839.
"Riot Games, Inc.",Consumer discretionary,United States of America,Médecins Sans Frontières (MSF) [NGO],cash,pledged,1800000,Donation of proceeds from one week of sales in video game platform. Source: https://twitter.com/riotgames/status/1509200557621325839.
