Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID,
30,American Express Company,Financials,United States of America,American Red Cross,cash,pledged,250000,Donation to support IFRC and other Red Cross partners who are responding to urgent needs and providing technical assistance on the ground in Ukraine. ,"Public reporting
[https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis]",cd-21,ro-5,
31,American Express Company,Financials,United States of America,International Medical Corps (IMC) [NGO],cash,pledged,250000,Donation to support mobile medical teams in Ukraine to provide essential emergency and primary health services; mental health and psychosocial support services; and COVID-19 awareness and prevention services to help keep affected populations safe from the pandemic. ,"Public reporting
[https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis]",cd-21,ro-54,
32,American Express Company,Financials,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,250000,"Donation to provide necessary resources where they are needed most in Ukraine, including for those who have fled their homes. ","Public reporting
[https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis]",cd-21,US-EIN-13-5660870,
33,American Express Company,Financials,United States of America,United Nations Children's Fund (UNICEF),cash,pledged,250000,"Donation to support children and families as the Ukraine crisis escalates, with life-saving programs, safe water, emergency health, hygiene, and education aid and other immediate help for those in need of support. ","Public reporting
[https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis]",cd-21,XM-DAC-41122,
34,AmerisourceBergen Foundation,Health care,United States of America,unspecified or multiple recipients,cash,pledged,500000,Commitment to support organizations in Ukraine including Direct Relief. ,"Public reporting
[https://www.amerisourcebergen.com/newsroom/media-statements/media-statement-on-current-operations-in-eastern-europe]",cd-22,ro-149,
35,"Amgen Foundation, Inc.",Health care,United States of America,International Medical Corps (IMC) [NGO],cash,pledged,250000,Donation from foundation associated with Amgen biopharmaceutical company. ,"Public reporting
[https://www.amgen.com/stories/2022/03/message-from-amgen-ceo-bob-bradway-on-ukraine-and-amgen-foundation-grant]",cd-23,ro-54,
36,"Amgen Foundation, Inc.",Health care,United States of America,Project Hope [NGO],cash,pledged,250000,Donation from foundation associated with Amgen biopharmaceutical company. ,"Public reporting
[https://www.amgen.com/stories/2022/03/message-from-amgen-ceo-bob-bradway-on-ukraine-and-amgen-foundation-grant]",cd-23,ro-87,
37,Analog Devices Incorporated,Industrials,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,101320,"CHF 97,509 from American semiconductor company.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-24,XM-DAC-21018,
38,AngloAmerican Foundation,Materials,United Kingdom,unspecified or multiple recipients,cash,pledged,5000000,Donation from foundation associated with British multinational mining group. ,"Public reporting
[https://www.angloamerican.com/media/press-releases/2022/04-03-2022]",cd-25,ro-149,
39,Ann and Gordon Getty Foundation,Energy,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,42000,Cash donation from descendants of the founder of the Standard Oil Company.,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-26,ro-113,
40,Arcadia Fund,Industrials,United Kingdom,British Red Cross Society ,cash,paid,6517325,£5 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). ,"Public reporting
[https://www.arcadiafund.org.uk/news/support-for-ukraine]",cd-27,GB-CHC-220949,
41,Arcadia Fund,Industrials,United Kingdom,British-Ukrainian Aid [NGO],cash,pledged,32586,"£25,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). ","Public reporting
[https://www.arcadiafund.org.uk/news/support-for-ukraine]",cd-27,ro-14,
42,Arcadia Fund,Industrials,United Kingdom,Foundation Conservation Carpathia [NGO],cash,paid,271879,"€250,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). ","Public reporting
[https://www.arcadiafund.org.uk/news/support-for-ukraine]",cd-27,ro-34,
43,Arcadia Fund,Industrials,United Kingdom,Frankfurt Zoological Society [NGO],cash,paid,271879,"€250,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). ","Public reporting
[https://www.arcadiafund.org.uk/news/support-for-ukraine]",cd-27,ro-35,
44,Arcadia Fund,Industrials,United Kingdom,Refugee Council [NGO],cash,paid,651732,"£500,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). ","Public reporting
[https://www.arcadiafund.org.uk/news/support-for-ukraine]",cd-27,ro-90,
45,Arcadia Fund,Industrials,United Kingdom,Save the Children [NGO],cash,paid,2281064,£1.75 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). ,"Public reporting
[https://www.arcadiafund.org.uk/news/support-for-ukraine]",cd-27,GB-COH-213890,
46,Arcadia Fund,Industrials,United Kingdom,United Nations High Commissioner for Refugees (UNHCR),cash,paid,3910395,£3 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). ,"Public reporting
[https://www.arcadiafund.org.uk/news/support-for-ukraine]",cd-27,XM-DAC-41121,
47,Arcadis NV,Industrials,Netherlands,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,212451,"CHF 204,460 from global design, engineering and management consulting company.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-28,XM-DAC-21018,
48,Archer-Daniels-Midland Company,Consumer staples,United States of America,World Food Programme (WFP),cash,paid,485000,Donation from US-based food conglomerate. ,"Bilateral - recipient report
[Confirmed email 14-June-22]",cd-29,XM-DAC-41140,
49,Arc'teryx,Consumer discretionary,Canada,Ukraine Humanitarian Fund (UHF),cash,paid,19700,"CAD 25,000 from Canadian outdoor clothing and climbing gear company. ","Bilateral - recipient report
[Confirmed email 31-May-22]",cd-30,ro-113,
